Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 563K (290 C),T6,10,0,0.9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,as-cast and aged at 593K (320 C),T6,10,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"The Effect of Microalloying of Nickel, RRA Treatment on Microstructure and Mechanical Properties for High Strength Aluminum Alloy",Al-Zn-Mg-Cu,As-quenched,AQ,1,0,0.88282,0,0,0,0,0,0.0018,0.017,0,0,0.0022,0,0,0.0275,0,0.001,0,0.0006,0,0.00028,0,0.0668,0
Scandium in aluminium alloys,1171,"cast material, aged 288 C/8h",T6,10,0,0.9977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0,0
Scandium in aluminium alloys,1171,"cast material, aged 288 C/8h",T6,10,0,0.9962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0
Scandium in aluminium alloys,1148,"Cast material, aged 300C/10 h, compression test",T5,9,0,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0
Scandium in aluminium alloys,1159,"Cast material, aged 300C/10 h, compression test",T5,9,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
Scandium in aluminium alloys,5148,"Cast material, aged 300C/10 h, compression test",T5,9,0,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.002,0,0,0,0,0,0
Scandium in aluminium alloys,"1117, 1118","Cast material, quenched from 648C, aged 300C/5 h,",T5,9,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0
Influence of micro-alloying with silver on microstructure and mechanical properties of Al-Cu alloy,Al-Cu-Zn-Fe-Ti-Mg-Mn-Ag alloys,cast solutionized,SHT,2,0.0007,0.9208,0,0,0,0,0,0,0.0637,0,0,0.0057,0,0,0.0001,0.0018,0,0,0,0,0.0006,0,0.0066,0
Influence of micro-alloying with silver on microstructure and mechanical properties of Al-Cu alloy,Al-Cu-Zn-Fe-Ti-Mg-Mn-Ag alloys,cast solutionized,SHT,2,0,0.916,0,0,0,0,0,0,0.0685,0,0,0.006,0,0,0.0001,0.002,0,0,0,0,0.0006,0,0.0068,0
Influence of micro-alloying with silver on microstructure and mechanical properties of Al-Cu alloy,Al-Cu-Zn-Fe-Ti-Mg-Mn-Ag alloys,cast solutionized,SHT,2,0.0003,0.9153,0,0,0,0,0,0,0.0678,0,0,0.0062,0,0,0.0001,0.0019,0,0,0,0,0.0008,0,0.0076,0
Influence of micro-alloying with silver on microstructure and mechanical properties of Al-Cu alloy,Al-Cu-Zn-Fe-Ti-Mg-Mn-Ag alloys,cast solutionized,SHT,2,0.001,0.9151,0,0,0,0,0,0,0.0684,0,0,0.0061,0,0,0.0001,0.0018,0,0,0,0,0.0002,0,0.0073,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,cold rolled 80% before ageing,T6,10,0,0.9985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,cold rolled 80% before ageing,T6,10,0,0.9975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,cold rolled 80% before ageing,T6,10,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,cold rolled 80% before ageing,T6,10,0,0.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,cold rolled 80% before ageing,T6,10,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0
The effect of small additions of scandium on the properties of aluminium alloys,Al-Sc binary alloys,cold rolled 80% before ageing,T6,10,0,0.9855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145,0,0,0,0,0,0
Scandium in aluminium alloys,5171,"Cold rolled material (50%) w/intermediate anneals at 343C, aged 288C/8h",T6,10,0,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0.053,0,0,0,0,0,0,0,0,0
