;Ap;Høyre;Frp;SV;Sp;KrF;Venstre;MDG;Rødt;Andre;regjering
2021-06;24,5;21,6;10,2;7,8;17,5;3,3;2,9;4,1;5,2;3,0;H/V/KrF
2021-05;24,0;22,6;10,3;8,0;16,5;3,8;3,3;4,1;4,3;3,0;H/V/KrF
2021-04;23,6;23,5;9,9;8,0;17,5;3,4;2,9;4,3;4,2;2,8;H/V/KrF
2021-03;22,2;24,1;9,7;7,6;19,0;3,1;3,0;3,8;4,4;3,0;H/V/KrF
2021-02;21,4;25,6;8,5;7,4;19,3;3,2;3,2;4,5;3,9;3,1;H/V/KrF
2021-01;20,4;24,7;9,5;8,0;20,7;3,4;2,5;4,0;4,0;2,7;H/V/KrF
2020-12;21,2;22,3;11,0;7,5;21,0;3,4;3,3;4,1;4,1;2,0;H/V/KrF
2020-11;21,5;23,2;12,1;7,2;18,6;3,3;3,4;4,3;4,1;2,3;H/V/KrF
2020-10;21,4;24,5;12,7;7,0;16,3;3,6;3,5;4,4;4,4;2,1;H/V/KrF
2020-09;22,9;24,7;12,6;7,8;14,1;3,7;3,2;4,7;4,1;2,2;H/V/KrF
2020-08;24,4;25,4;11,0;7,3;14,0;3,8;2,9;5,1;4,3;1,8;H/V/KrF
2020-07;24,1;25,8;10,6;7,5;13,2;3,9;3,2;5,1;5,0;1,8;H/V/KrF
2020-06;24,2;25,0;11,6;7,2;14,1;3,6;3,0;5,2;4,6;1,7;H/V/KrF
2020-05;25,9;26,7;9,9;6,7;14,0;3,4;3,1;5,0;4,0;1,5;H/V/KrF
2020-04;24,9;26,0;11,5;7,3;14,4;3,6;3,0;4,5;3,6;1,3;H/V/KrF
2020-03;24,6;20,5;12,9;7,7;16,6;3,3;3,1;5,4;4,3;1,7;H/V/KrF
2020-02;24,1;19,0;15,0;6,9;15,2;4,0;3,8;5,5;4,4;1,9;H/V/KrF
2020-01;25,5;20,5;12,8;7,2;15,9;3,5;2,7;5,1;4,6;2,2;H/Frp/V/KrF
2019-12;23,2;21,2;10,7;7,6;17,8;3,4;3,1;5,6;5,1;2,4;H/Frp/V/KrF
2019-11;22,5;21,0;9,8;7,3;19,2;3,3;3,2;6,3;4,9;2,6;H/Frp/V/KrF
2019-10;23,6;21,0;9,8;7,3;17,3;3,6;3,4;6,7;4,6;2,7;H/Frp/V/KrF
2019-09;23,0;21,3;11,5;7,6;16,3;3,6;3,0;6,7;4,1;3,1;H/Frp/V/KrF
2019-08;24,0;22,3;10,2;7,2;15,2;3,7;2,9;5,9;5,1;3,7;H/Frp/V/KrF
2019-07;25,0;21,6;8,2;7,7;14,2;3,9;4,0;5,2;5,0;5,5;H/Frp/V/KrF
2019-06;25,3;22,0;10,4;6,8;14,7;3,2;2,7;5,4;5,6;3,9;H/Frp/V/KrF
2019-05;26,0;21,7;12,2;7,1;14,5;3,4;2,8;4,2;5,1;3,1;H/Frp/V/KrF
2019-04;26,2;22,5;10,6;7,5;15,9;3,5;2,9;3,9;4,5;2,6;H/Frp/V/KrF
2019-03;26,7;24,3;11,3;7,5;13,7;3,4;2,2;4,0;5,0;1,9;H/Frp/V/KrF
2019-02;28,0;22,9;11,3;7,7;13,2;3,5;2,6;3,4;5,5;2,0;H/Frp/V/KrF
2019-01;28,3;24,2;12,3;7,4;11,9;3,5;3,3;3,1;4,0;1,4;H/Frp/V
2018-12;27,7;25,0;13,0;7,0;11,4;3,6;3,6;3,0;4,1;1,3;H/Frp/V
2018-11;28,7;25,4;12,8;6,3;11,3;3,9;3,7;2,7;3,9;1,4;H/Frp/V
2018-10;27,2;25,7;13,3;6,8;11,0;4,1;3,4;2,8;3,9;1,8;H/Frp/V
2018-09;26,5;26,2;13,9;6,4;10,8;3,5;3,4;2,8;4,6;1,9;H/Frp/V
2018-08;26,1;25,8;12,8;6,7;11,7;4,2;3,8;3,1;4,6;1,3;H/Frp/V
2018-07;23,7;26,3;14,8;7,5;9,7;5,0;3,4;3,7;3,9;2,0;H/Frp/V
2018-06;23,2;27,2;13,4;7,3;11,0;4,1;4,1;3,0;4,8;1,9;H/Frp/V
2018-05;24,1;26,8;14,9;7,2;10,7;4,0;4,0;2,9;3,7;1,7;H/Frp/V
2018-04;23,8;25,8;15,8;7,3;10,9;4,2;3,7;2,8;4,3;1,4;H/Frp/V
2018-03;23,7;27,1;15,2;6,6;11,3;4,0;4,2;2,9;3,3;1,5;H/Frp/V
2018-02;23,3;28,6;13,7;7,3;10,7;4,0;4,3;3,4;3,2;1,2;H/Frp/V
2018-01;22,4;29,0;14,2;7,5;11,1;4,2;4,1;3,0;3,0;1,4;H/Frp
2017-12;26,2;26,6;14,4;7,1;10,6;4,1;4,0;3,4;2,4;1,2;H/Frp
2017-11;26,2;26,4;14,6;6,9;10,5;3,8;4,3;2,8;3,0;1,2;H/Frp
2017-10;26,1;26,5;13,9;6,6;10,5;3,8;4,3;3,7;2,8;1,5;H/Frp
2017-09;26,9;24,4;14,6;6,1;10,2;4,4;4,2;3,9;3,3;1,8;H/Frp
2017-08;27,9;23,8;14,5;5,6;10,7;4,8;3,6;4,0;3,0;2,0;H/Frp
2017-07;32,1;22,0;13,3;4,6;11,4;4,9;3,4;4,0;2,3;2,2;H/Frp
2017-06;31,7;23,1;13,4;4,3;12,1;4,5;3,3;3,2;2,4;2,1;H/Frp
2017-05;31,8;23,5;13,0;4,2;12,3;4,7;3,2;2,8;2,6;1,8;H/Frp
2017-04;31,7;23,3;12,8;4,6;12,3;4,8;3,7;2,7;2,3;1,7;H/Frp
2017-03;32,5;23,3;12,6;4,4;11,6;5,0;3,9;2,7;2,4;1,7;H/Frp
2017-02;33,1;23,4;14,0;4,1;9,8;4,9;4,0;2,8;2,1;1,7;H/Frp
2017-01;35,5;23,4;13,9;4,3;7,8;5,2;4,0;2,5;2,1;1,3;H/Frp
2016-12;36,1;23,1;14,0;4,3;7,1;4,8;4,0;2,8;1,9;1,7;H/Frp
2016-11;36,3;23,8;12,5;4,3;7,0;5,1;4,6;2,9;2,0;1,6;H/Frp
2016-10;36,6;24,5;13,5;3,8;6,7;4,5;4,3;2,6;1,8;1,5;H/Frp
2016-09;34,6;24,8;14,5;4,1;7,1;4,8;4,3;2,7;1,7;1,4;H/Frp
2016-08;35,4;24,8;14,4;3,8;6,5;4,7;4,1;3,1;1,5;1,6;H/Frp
2016-07;31,3;25,4;15,0;4,2;7,4;5,1;4,6;2,8;2,4;0,6;H/Frp
2016-06;34,1;23,3;15,9;4,4;6,2;5,0;4,3;3,5;1,7;1,4;H/Frp
2016-05;33,6;23,9;15,5;4,0;6,6;5,3;4,4;3,1;2,1;1,2;H/Frp
2016-04;33,8;23,7;16,4;4,2;6,1;5,3;4,5;3,2;1,5;1,3;H/Frp
2016-03;32,5;25,2;16,7;3,9;6,2;4,8;4,5;3,2;1,9;1,1;H/Frp
2016-02;33,0;24,1;16,7;4,2;5,7;5,2;4,2;3,8;2,0;1,2;H/Frp
2016-01;32,7;24,2;16,4;4,0;5,9;4,8;4,5;4,0;2,0;1,3;H/Frp
2015-12;34,0;22,0;17,5;3,7;6,0;5,0;4,1;4,3;1,9;1,3;H/Frp
2015-11;35,1;22,0;16,3;3,9;6,1;4,9;4,3;4,1;2,0;1,4;H/Frp
2015-10;36,4;22,9;12,0;4,2;6,6;5,5;5,2;4,2;1,8;1,1;H/Frp
2015-09;35,6;23,3;12,2;4,1;6,3;5,7;5,2;4,8;1,4;1,1;H/Frp
2015-08;36,3;23,8;12,7;4,0;5,8;4,9;4,5;4,7;1,7;1,7;H/Frp
2015-07;37,6;22,7;12,8;4,3;5,1;5,1;4,6;4,3;1,7;1,8;H/Frp
2015-06;39,0;22,5;12,3;3,5;5,7;5,4;4,5;4,4;1,5;1,2;H/Frp
2015-05;38,0;24,0;12,0;3,6;5,8;5,2;4,6;4,1;1,5;1,4;H/Frp
2015-04;39,5;23,0;11,0;3,6;5,6;5,7;4,9;4,0;1,4;1,0;H/Frp
2015-03;41,4;22,7;10,4;3,6;5,8;5,5;4,5;3,2;1,5;1,0;H/Frp
2015-02;41,9;21,3;11,2;3,9;5,7;5,3;4,7;3,6;1,4;1,1;H/Frp
2015-01;41,5;22,6;11,3;3,7;5,4;5,3;4,6;3,4;1,2;1,1;H/Frp
2014-12;41,4;22,5;11,3;3,8;5,2;5,4;4,7;3,5;1,3;0,9;H/Frp
2014-11;40,2;22,6;11,5;3,9;5,3;5,9;4,7;3,5;1,4;1,0;H/Frp
2014-10;37,3;25,2;13,5;3,6;5,2;4,7;4,6;3,6;1,3;1,1;H/Frp
2014-09;35,0;26,6;14,1;3,6;5,0;5,1;4,8;3,5;1,2;1,0;H/Frp
2014-08;34,5;26,9;13,9;3,9;5,2;5,1;4,7;3,7;1,2;1,2;H/Frp
2014-07;36,3;26,8;12,3;3,0;5,3;4,6;5,3;3,6;1,5;1,2;H/Frp
2014-06;35,0;26,3;13,8;3,5;5,3;5,2;4,8;3,6;1,3;1,3;H/Frp
2014-05;33,9;26,9;13,7;4,0;5,1;5,3;5,2;3,4;1,3;1,2;H/Frp
2014-04;34,2;27,5;14,0;3,7;4,5;5,4;5,3;3,0;1,3;1,3;H/Frp
2014-03;34,6;26,9;14,3;3,8;4,9;5,0;5,1;3,1;1,4;1,1;H/Frp
2014-02;33,8;28,7;13,3;3,9;4,9;5,3;4,8;3,0;1,2;1,1;H/Frp
2014-01;33,5;29,1;13,6;3,9;4,5;5,3;4,7;3,1;1,2;1,2;H/Frp
2013-12;33,3;27,8;14,2;3,9;4,8;5,4;5,2;2,9;1,2;1,3;H/Frp
2013-11;32,2;27,9;14,5;4,0;5,0;5,4;5,4;3,3;1,2;1,1;H/Frp
2013-10;31,9;27,8;14,6;4,1;4,7;5,5;5,6;3,2;1,3;1,3;Ap/SV/Sp
2013-09;29,7;27,0;15,9;4,8;5,1;6,0;5,5;3,2;1,4;1,4;Ap/SV/Sp
2013-08;29,0;28,9;15,2;4,3;5,3;5,4;5,3;3,5;1,5;1,5;Ap/SV/Sp
2013-07;28,0;31,6;16,2;3,9;4,6;5,2;5,2;2,3;1,9;1,2;Ap/SV/Sp
2013-06;28,6;32,0;16,4;4,3;4,5;5,3;4,2;1,5;1,5;1,5;Ap/SV/Sp
2013-05;28,9;31,8;16,0;4,7;4,5;5,3;4,7;1,4;1,5;1,3;Ap/SV/Sp
2013-04;27,7;32,6;16,5;5,0;4,8;5,1;4,5;1,0;1,5;1,4;Ap/SV/Sp
2013-03;28,1;32,4;16,8;4,4;4,8;5,2;4,7;1,0;1,4;1,1;Ap/SV/Sp
2013-02;28,4;32,9;15,6;4,9;4,7;5,3;4,5;0,9;1,4;1,3;Ap/SV/Sp
2013-01;28,6;33,6;15,9;4,1;4,4;5,5;4,4;0,6;1,4;1,3;Ap/SV/Sp
2012-12;28,6;32,0;16,2;4,3;4,7;5,3;5,2;0,6;1,8;1,2;Ap/SV/Sp
2012-11;29,6;31,4;17,0;4,4;4,5;5,0;4,9;0,3;1,5;1,2;Ap/SV/Sp
2012-10;27,8;33,9;17,2;4,1;4,4;5,0;4,5;0,5;1,4;1,3;Ap/SV/Sp
